5;2025-10-25;22;5;3
2;2025-10-25;23;9;3
7;2025-10-25;21;2;3
10;2025-10-25;24;2;2
5;2025-10-25;24;6;3
5;2025-10-25;22;7;1
7;2025-10-25;20;10;4
3;2025-10-25;23;9;2
7;2025-10-25;20;8;1
10;2025-10-25;23;8;4
1;2025-10-25;24;2;2
4;2025-10-25;21;6;1
5;2025-10-25;22;7;2
2;2025-10-25;21;7;1
3;2025-10-25;19;9;1
8;2025-10-25;19;9;2
4;2025-10-25;24;6;2
8;2025-10-25;24;9;2
3;2025-10-25;22;1;2
6;2025-10-25;19;5;1
8;2025-10-25;22;5;3
2;2025-10-25;19;3;3
7;2025-10-25;20;2;3
1;2025-10-25;22;8;2
2;2025-10-25;24;10;1
9;2025-10-25;20;5;3
10;2025-10-25;21;1;2
1;2025-10-25;19;6;4
3;2025-10-25;24;10;4
7;2025-10-25;22;6;2
9;2025-10-25;21;1;3
10;2025-10-25;21;10;4
8;2025-10-25;20;7;2
2;2025-10-25;19;6;2
7;2025-10-25;21;2;3
10;2025-10-25;21;4;1
2;2025-10-25;24;10;1
1;2025-10-25;22;9;2
10;2025-10-25;20;6;4
6;2025-10-25;22;9;3
3;2025-10-25;21;6;4
5;2025-10-25;21;4;4
4;2025-10-25;19;3;3
7;2025-10-25;21;8;2
8;2025-10-25;23;4;1
5;2025-10-25;23;5;2
3;2025-10-25;22;9;1
5;2025-10-25;23;2;1
9;2025-10-25;20;3;4
1;2025-10-25;23;2;3
7;2025-10-25;20;4;1
1;2025-10-25;20;2;3
6;2025-10-25;20;8;4
2;2025-10-25;22;10;1
2;2025-10-25;24;9;2
2;2025-10-25;23;10;3
1;2025-10-25;20;9;1
9;2025-10-25;22;9;4
5;2025-10-25;23;6;2
2;2025-10-25;20;8;2
4;2025-10-25;22;4;2
2;2025-10-25;24;9;1
10;2025-10-25;24;3;1
6;2025-10-25;23;6;3
9;2025-10-25;24;9;1
9;2025-10-25;20;2;4
5;2025-10-25;21;8;1
8;2025-10-25;23;6;4
9;2025-10-25;22;1;1
3;2025-10-25;23;4;1
7;2025-10-25;20;1;1
7;2025-10-25;24;10;4
4;2025-10-25;20;5;1
3;2025-10-25;19;6;1
3;2025-10-25;19;7;1
4;2025-10-25;24;6;2
2;2025-10-25;22;3;1
7;2025-10-25;22;1;3
3;2025-10-25;19;5;4
3;2025-10-25;22;7;3
4;2025-10-25;24;8;3
6;2025-10-25;23;5;1
4;2025-10-25;19;7;3
1;2025-10-25;24;7;2
10;2025-10-25;24;3;3
9;2025-10-25;19;6;3
6;2025-10-25;22;9;4
8;2025-10-25;21;3;1
4;2025-10-25;20;1;3
1;2025-10-25;19;7;1
4;2025-10-25;21;9;3
3;2025-10-25;20;10;3
1;2025-10-25;22;2;1
6;2025-10-25;24;3;2
7;2025-10-25;22;8;3
3;2025-10-25;21;7;4
5;2025-10-25;19;9;4
8;2025-10-25;22;1;4
2;2025-10-25;23;1;1
5;2025-10-25;22;6;3
10;2025-10-25;23;2;1
8;2025-10-25;19;10;3
5;2025-10-25;22;5;4
8;2025-10-25;19;7;1
1;2025-10-25;24;1;3
8;2025-10-25;20;4;3
5;2025-10-25;19;10;2
6;2025-10-25;21;7;2
7;2025-10-25;23;1;3
9;2025-10-25;23;6;4
1;2025-10-25;20;1;2
9;2025-10-25;19;4;4
5;2025-10-25;19;3;1
7;2025-10-25;22;10;2
1;2025-10-25;22;3;1
7;2025-10-25;21;3;4
8;2025-10-25;20;6;3
3;2025-10-25;20;1;3
9;2025-10-25;20;4;4
7;2025-10-25;23;4;4
9;2025-10-25;22;10;1
5;2025-10-25;24;9;4
6;2025-10-25;24;1;3
7;2025-10-25;21;2;1
9;2025-10-25;24;4;3
4;2025-10-25;23;1;3
10;2025-10-25;19;5;4
3;2025-10-25;23;6;4
5;2025-10-25;22;1;2
8;2025-10-25;20;4;4
1;2025-10-25;21;1;4
1;2025-10-25;21;8;4
7;2025-10-25;23;9;3
10;2025-10-25;20;8;4
10;2025-10-25;23;8;4
9;2025-10-25;22;2;1
4;2025-10-25;24;10;1
6;2025-10-25;21;10;3
4;2025-10-25;21;10;2
10;2025-10-25;20;3;4
6;2025-10-25;22;6;2
3;2025-10-25;23;7;3
3;2025-10-25;20;6;2
10;2025-10-25;19;6;3
8;2025-10-25;19;5;1
6;2025-10-25;24;10;2
6;2025-10-25;23;7;2
10;2025-10-25;24;1;4
4;2025-10-25;24;9;3
1;2025-10-25;23;3;4
4;2025-10-25;23;8;2
10;2025-10-25;20;3;4
4;2025-10-25;20;7;3
9;2025-10-25;19;4;4
2;2025-10-25;19;1;3
4;2025-10-25;20;2;3
5;2025-10-25;19;10;3
7;2025-10-25;24;3;2
10;2025-10-25;19;4;2
8;2025-10-25;19;7;3
4;2025-10-25;22;7;4
4;2025-10-25;24;6;3
5;2025-10-25;19;1;1
6;2025-10-25;22;5;2
5;2025-10-25;20;2;4
4;2025-10-25;24;4;3
8;2025-10-25;22;3;2
10;2025-10-25;23;6;1
5;2025-10-25;20;9;3
9;2025-10-25;24;9;1
2;2025-10-25;22;3;2
8;2025-10-25;21;9;1
9;2025-10-25;23;8;3
2;2025-10-25;22;10;2
2;2025-10-25;20;4;1
9;2025-10-25;22;4;3
1;2025-10-25;20;6;4
4;2025-10-25;22;7;4
3;2025-10-25;19;5;4
1;2025-10-25;21;9;3
2;2025-10-25;23;7;3
10;2025-10-25;21;8;3
10;2025-10-25;22;6;4
4;2025-10-25;23;9;3
7;2025-10-25;21;2;3
5;2025-10-25;21;3;4
7;2025-10-25;24;10;1
9;2025-10-25;20;6;2
1;2025-10-25;23;8;2
3;2025-10-25;24;10;1
4;2025-10-25;19;10;1
9;2025-10-25;24;3;1
6;2025-10-25;21;1;2
3;2025-10-25;24;10;1
6;2025-10-25;20;6;2
6;2025-10-25;24;10;4
6;2025-10-25;24;3;4
5;2025-10-25;21;3;4
1;2025-10-25;21;6;2
10;2025-10-25;24;6;4
4;2025-10-25;19;6;1
3;2025-10-25;21;10;2
5;2025-10-25;21;9;2
2;2025-10-25;22;4;3
8;2025-10-25;24;8;4
9;2025-10-25;21;5;1
2;2025-10-25;22;6;2
5;2025-10-25;24;3;2
10;2025-10-25;21;7;4
5;2025-10-25;24;3;2
6;2025-10-25;22;3;2
8;2025-10-25;20;3;4
4;2025-10-25;22;1;2
5;2025-10-25;22;9;2
3;2025-10-25;19;7;1
7;2025-10-25;21;5;2
6;2025-10-25;24;7;2
4;2025-10-25;19;10;1
6;2025-10-25;23;7;3
5;2025-10-25;24;7;3
8;2025-10-25;24;2;3
3;2025-10-25;24;3;1
8;2025-10-25;22;1;2
6;2025-10-25;19;3;4
8;2025-10-25;24;6;3
8;2025-10-25;20;2;1
10;2025-10-25;19;2;4
6;2025-10-25;20;2;2
9;2025-10-25;22;4;3
5;2025-10-25;23;1;4
6;2025-10-25;24;6;4
1;2025-10-25;23;8;3
1;2025-10-25;20;3;1
3;2025-10-25;22;7;4
4;2025-10-25;20;9;1
8;2025-10-25;20;3;2
7;2025-10-25;19;10;3
8;2025-10-25;20;3;1
8;2025-10-25;19;1;4
3;2025-10-25;21;7;3
6;2025-10-25;21;4;3
3;2025-10-25;24;9;3
10;2025-10-25;20;6;1
1;2025-10-25;19;6;2
8;2025-10-25;19;1;2
4;2025-10-25;20;10;4
1;2025-10-25;22;3;2
5;2025-10-25;20;3;1
9;2025-10-25;24;2;4
6;2025-10-25;23;7;2
5;2025-10-25;20;4;3
8;2025-10-25;24;6;4
6;2025-10-25;19;10;1
3;2025-10-25;23;9;3
10;2025-10-25;23;1;4
3;2025-10-25;24;8;4
9;2025-10-25;22;7;3
1;2025-10-25;24;6;1
7;2025-10-25;21;7;4
7;2025-10-25;19;8;4
5;2025-10-25;19;7;3
7;2025-10-25;20;2;2
6;2025-10-25;20;3;4
6;2025-10-25;21;10;4
10;2025-10-25;21;8;4
8;2025-10-25;20;4;1
3;2025-10-25;20;6;3
3;2025-10-25;24;7;1
6;2025-10-25;20;8;3
4;2025-10-25;24;9;2
1;2025-10-25;21;4;3
2;2025-10-25;20;2;2
6;2025-10-25;20;10;3
6;2025-10-25;22;6;1
5;2025-10-25;23;8;3
5;2025-10-25;19;5;1
10;2025-10-25;19;10;2
6;2025-10-25;19;8;2
7;2025-10-25;19;2;2
6;2025-10-25;21;8;4
